filename,true_label,predicted_label,text_preview
mail_0044.txt,Auto,Access,нужны права в 1c для нового сотрудника  новый сотрудник kate brown приступает к работе с понедельника. нужно подготовить доступ к 1c и корпоративной почте.
mail_0050.txt,Auto,Tech,"приглашение на демо  добрый день.  нужно обсудить статус задач до конца недели. предлагаю созвон на 30 минут.  best regards, людмила захарова  прикрепил: contra"
mail_0059.txt,Auto,Docs,"[it] перенос созвона  предлагаю встретиться по квартальному отчёту в четверг в 14:00. продолжительность — 1 час. пожалуйста, подтвердите участие.  с уважением, "
mail_0069.txt,Auto,Repeat,"[info] плановый отчёт мониторинга  уважаемые коллеги,  плановый отчёт мониторинга за сутки. uptime: 99.2% ошибок 5xx: 4 среднее время ответа: 144ms  p.s. это уж"
mail_0026.txt,Docs,HR,"re:  hi,  не работает. уже второй день.  если вопрос не к вам — перенаправьте, пожалуйста.  во вложении: screenshot.png"
mail_0048.txt,Docs,Tech,добрый день.  обнаружили расхождение в реквизитах приложение к договоруа. просим проверить раздел 3 и вернуть исправленный вариант.  если вопрос не к вам — пере
mail_0054.txt,Docs,Finance,"уточнение по оплате договора  коллеги, привет!  просим подтвердить получение счёта №6612. оплата по договору должна пройти до 3.6.2025.  otpravleno s iphone  пр"
mail_0087.txt,Docs,HR,"требуется срочная верификация аккаунта  hi,  внимание! на ваш аккаунт зафиксирован подозрительный вход из другой страны. немедленно подтвердите личность, ответи"
mail_0013.txt,Finance,Docs,fwd: акт выполненных работ — апрель  просим подтвердить получение счёта №5247. оплата по договору должна пройти до 9.7.2025.  во вложении: screenshot.png
mail_0060.txt,Finance,Docs,"финальная версия: инструкция  коллеги, привет!  прошу подтвердить, что инструкция получен и принят в работу.  otpravleno s iphone  вложение: invoice.pdf"
mail_0027.txt,HR,Urgent,"уважаемые коллеги,  после обновления системы adobe reader не открывает файлы нужного формата. раньше всё работало.  также хотел уточнить ещё один момент:  напра"
mail_0077.txt,HR,Docs,"изменение графика работы  коллеги, привет!  в связи с переводом павел соколов в отдел маркетинг прошу обновить данные и пересмотреть уровни доступа.  если вопро"
mail_0064.txt,Spam,Docs,срочно подтвердите личность  здравствуйте!  только сегодня! эксклюзивная акция для сотрудников компании. скидка 90% на все товары.  спасибо.  во вложении: scree
mail_0002.txt,Urgent,Repeat,urgent: запрос от внешнего пользователя  добрый день.  клиент обращается повторно — заявка висит без ответа уже 3 дня. прошу срочно разобраться.  p.s. это уже в
mail_0004.txt,Urgent,Docs,"падает система согласования, работа остановлена  добрый день.  у нас критичный инцидент: система согласования возвращает ошибку 500 уже 40 минут. затронуты прим"
mail_0065.txt,Urgent,Tech,"[it] fwd: жалоба клиента — нет ответа на тикет  hi,  ---------- forwarded message --------- from: елена новикова subject: жалоба клиента — нет ответа на тикет  "
mail_0078.txt,Urgent,HR,"оформление нового сотрудника — noreply  коллеги, привет!  обращаемся повторно — после первого тикета проблема не устранена. bi-система по-прежнему недоступен. н"
mail_0018.txt,Tech,Repeat,"неисправность оборудования: сканер  hi,  сканер не включается с вчерашнего дня. пробовал перезагрузить — не помогло. нужна помощь.  otpravleno s iphone"
mail_0021.txt,Repeat,Urgent,"сломался гарнитура — нужна замена  hi,  у сотрудника noreply гарнитура не включается. просим организовать диагностику или замену.  p.s. это уже второй запрос по"
mail_0025.txt,Tech,Repeat,заявка на отпуск  добрый день.  прошу подготовить рабочее место и доступы для нового сотрудника сергей волков. выход на работу — в следующий понедельник. отдел:
mail_0029.txt,Tech,Auto,"приглашение на демо  коллеги, привет!  нужно обсудить статус задач до конца недели. предлагаю созвон на 30 минут.  с уважением, людмила захарова  файл: error_lo"
mail_0042.txt,Tech,Docs,массовый сбой авторизации  сервис система согласования не отвечает с 9:15. пробовали перезайти — не помогает. несколько коллег из безопасность подтвердили ту же
mail_0062.txt,Repeat,Urgent,"падает корпоративный портал, работа остановлена  добрый день.  не могу войти в корпоративный портал. логин и пароль правильные, но система выдаёт: 'доступ запре"
mail_0063.txt,Tech,Repeat,нужны права в корпоративный портал для нового сотрудника  здравствуйте!  новый сотрудник елена новикова приступает к работе с понедельника. нужно подготовить до
mail_0070.txt,Tech,HR,"ошибка в adobe reader после обновления  коллеги, привет!  не могу установить adobe reader — установщик зависает на 80% и выдаёт ошибку. права администратора ест"
mail_0083.txt,Tech,Auto,"коллеги, привет!  приглашаем на демо новой версии системы. дата: 24.8.2025, 11:00.  best regards, кирилл морозов  вложение: invoice.pdf  код ошибки: err_746"
mail_0095.txt,Tech,Access,"запрос доступа к 1c  коллеги, привет!  после перевода в отдел продажи у мария смирнова пропал доступ к 1c. раньше всё работало. прошу восстановить.  otpravleno "
mail_0098.txt,Repeat,Tech,"неисправность оборудования: ноутбук  hi,  ноутбук сломался экран с вчерашнего дня. пробовал перезагрузить — не помогло. нужна помощь.  p.s. это уже второй запро"
